Models,Engine Size,Fuel,Engine Code,Years,
Ford Transit Mark 5,2.0 litre,Petrol/Gas,"4BC, 4CC, 4DA, 4EA, 4FA, 4GA, 4GB, 4GC, BRT, NBA, NCA, NSH",1994 - 2000,
Ford Transit Mark 5,2.0 litre,Petrol,"NSF, NSG",1994 - 2006,
Ford Transit Mark 5,2.5 litre,Diesel,"4EB, 4EC, 4ED, 4FA, 4FB, 4FC, 4FD, 4GA, 4GB, 4GC, 4GD, 4GE, 4GF, 4HA, 4HB, 4HC, 4HD",1991 - 2000,
Ford Transit Bus,2.0 litre,Petrol,"4EB, 4EC, 4ED, 4FA, 4FB, 4FC, 4FD, 4GA, 4GB, 4GC, 4GD, 4GE, 4GF, 4HA, 4HB, 4HC, 4HD, NSF",1994 - 2006,
Ford Transit Mark 6,2.0 litre,Diesel,"ABFA, D3FA,ÿF3FA, FIFA",2000 - 2006,
Ford Transit Bus,2.4 litre,Diesel,"ABFA, D3FA, F3FA, FIFA, F4FA",2000 - 2006,
Ford Transit Mark 6,2.4 litre,Diesel,"D2FA, D2FB, D2FE, D4FA, DOFA, F4FA, FXFA, H9FA",2000 - 2006,
Ford Transit Bus,2.3 litre,Petrol,"D2FA, D2FB, D2FE, D4FA, DOFA, F4FA, FXFA, H9FA, E5FA",2000 - 2006,
Ford Transit Van,2.0 litre,Diesel,"YLF6, YLFS,ÿYLR6, YMF6, YMFS,ÿYMR6, YNF6, YNFS,ÿYNR6",2015 - Current,
Ford Transit Bus,2.0 litre,Diesel,"YLF6, YLFS, YMF6, YMFS, YNF6, YNFS",2015 - Current,
Ford Transit Bus,2.2 litre,Diesel,"YLF6, YLFS, YMF6, YMFS, YNF6, YNFS, CVF5",2013 - 2018,
Ford Transit Van,2.2 litre,Diesel,"YLF6, YLFS, YMF6, YMFS, YNF6, YNFS, CVF5, UHR5",2013 - 2018,
Ford Transit Platform/Chassis,2.3 litre,Petrol,"YLF6, YLFS, YMF6, YMFS, YNF6, YNFS, CVF5, UHR5, E5FC",2000 - 2006,
Ford Transit Mark 7,2.3 litre,Petrol/Gas,"GZFA, GZFC",2006 - 2014,
Ford Transit Mark 7,2.2 litre,Diesel,"CVFF, CVRA,ÿCVRB, CVRC, CYF4, CYFA, CYFC, CYFD, CYFF, CYRA,ÿCYRB,ÿCYRC, DRF4, DRFA, DRFB, DRFC, DRFD, DRFE, DRFF, DRFG, DRRA, DRRB, DRRC,ÿP8FA, P8FB, PGFA, PGFB, QVFA, QWFA, SRFA, SRFB, SRFC, SRFD, SRFE, UHFA, UHFB, UHFC, USRA, USRB",2006 - 2018,
Ford Transit Mark 7,2.4 litre,Diesel,"H9FB, H9FD, JXFA, JXFC, PHFA, PHFC",2006 - 2014,
Ford Transit Mark 7,2.3 litre,Petrol,"H9FB, H9FD, JXFA, JXFC, PHFA, PHFC, GZFB",2006 - 2014,
Ford Transit Mark 7,3.2 litre,Diesel,"H9FB, H9FD, JXFA, JXFC, PHFA, PHFC, GZFB, SAFB",2007 - 2014,
Ford Transit Mark 7,2.2 litre,Petrol,"H9FB, H9FD, JXFA, JXFC, PHFA, PHFC, GZFB, SAFB,ÿCYFB",2011 - 2020,
Ford Transit Mark 7,3.2 litre,Diesel,"H9FB, H9FD, JXFA, JXFC, PHFA, PHFC, GZFB, SAFB, CYFB,ÿSAFA",2007 - 2014,
Ford Transit Mark 8,2.2 litre,Diesel,"CV24, CVF5, CVR5, CY14,ÿCY24, CYF5, CYFG, CYR5, DRF5, DRFF, DRFG, DRR5, USF6, USR6, UYR6",2012 - 2018,
Ford Transit Custom Bus,2.0 litre,Diesel,"YLF6, YLFS, YMF6, YMFS, YNF6, YNFS",2015 - Current,
Ford Transit Connect Connect Mark 1,1.8 litre,Diesel,"BHPA, HCPA, HCPB, P7PA, P7PB, P9PA, P9PB, P9PC, P9PD, R2PA, R3PA, RWPA, RWPC, RWPD, RWPE, RWPF",2002 - 2013,
Ford Transit Connect Connect Mark 1,1.8 litre,Petrol,"EYPA, EYPC, EYPD",2002 - 2013,
Ford Transit Connect Connect Mark 2,1.5 litre,Diesel,"UGCA, UGCB",2014 - Current,
Ford Transit Connect Connect Mark 2,1.6 litre,Diesel,"T1GA, TZGA, TZGB, UBGA",2013 - Current,
Ford Transit Connect Kombi,2.5 litre,Petrol,"S7GA, S7GB",2013 - Current,
Ford Transit Connect Connect Mark 2,1.6 litre,Petrol,"S7GA, S7GB, JQGA",2013 - Current,
Ford Transit Connect Van,1.5 litre,Diesel,"XUGA, XVGA, XVGB, XVGC, XWGA, XWGB",2015 - Current,
Ford Transit Connect Kombi,1.5 litre,Diesel,"XUGA, XVGA, XVGB, XVGC, XWGA, XWGB",2015 - Current,
Ford Transit Connect Connect Mark 2,1.0 litre,Petrol,"XUGA, XVGA, XVGB, XVGC, XWGA, XWGB, M2GA",2013 - Current,
Ford Transit Courier Courier,1.5 litre,Diesel,"UGCA, UGCB",2014 - Current,
Ford Transit Courier Kombi,1.5 litre,Diesel,"XVCA, XVCB, XVCC",2015 - Current,
Ford Transit Courier Van,1.5 litre,Diesel,"XVCA, XVCB, XVCC",2015 - Current,
